timestamp,doc_id,stage,batch_uuid,pages,images_extracted,images_sent_to_batch,images_downloaded,images_filtered_in,images_filtered_out,images_integrated,duration_seconds,status,notes
2025-10-16T22:02:43.080437,doc_117056,conversion,,13,,,,,,,18.12,success,
2025-10-16T22:03:27.057840,doc_117061,conversion,,31,,,,,,,43.91,success,
2025-10-16T22:04:27.276603,doc_117065,conversion,,43,,,,,,,60.13,success,
2025-10-16T22:04:52.165514,doc_117066,conversion,,18,,,,,,,24.85,success,
2025-10-16T22:13:25.263590,doc_117070,conversion,,298,,,,,,,507.11,success,
2025-10-16T22:14:21.902397,doc_117072,conversion,,42,,,,,,,56.49,success,
2025-10-16T22:15:20.321348,doc_117076,conversion,,45,,,,,,,58.33,success,
2025-10-16T22:16:22.491681,doc_117077,conversion,,39,,,,,,,62.15,success,
2025-10-16T22:17:40.449035,doc_117079,conversion,,48,,,,,,,77.94,success,
2025-10-16T22:20:23.488147,doc_117083,conversion,,91,,,,,,,163.00,success,
2025-10-16T22:23:47.346983,doc_117085,conversion,,114,,,,,,,203.71,success,
2025-10-16T22:24:17.714746,doc_117086,conversion,,16,,,,,,,30.34,success,
2025-10-16T22:24:33.611599,doc_117087,conversion,,8,,,,,,,15.89,success,
2025-10-16T22:27:42.759883,doc_117088,conversion,,104,,,,,,,189.03,success,
2025-10-16T22:28:03.279279,doc_117092,conversion,,10,,,,,,,20.50,success,
2025-10-16T22:28:42.639623,doc_117100,conversion,,12,,,,,,,39.34,success,
2025-10-16T22:30:08.703906,doc_117109,conversion,,54,,,,,,,86.04,success,
2025-10-16T22:40:39.830697,doc_117111,conversion,,320,,,,,,,615.21,success,
2025-10-16T22:42:07.257342,doc_117114,conversion,,58,,,,,,,87.37,success,
2025-10-16T22:42:14.122245,doc_117122,conversion,,3,,,,,,,6.85,success,
2025-10-16T22:49:07.636228,doc_117123,conversion,,119,,,,,,,403.87,success,
2025-10-16T22:50:21.330242,doc_117126,conversion,,46,,,,,,,73.48,success,
2025-10-16T22:52:49.901865,doc_117130,conversion,,87,,,,,,,148.33,success,
2025-10-16T23:00:12.049716,doc_117136,conversion,,224,,,,,,,426.25,success,
2025-10-16T23:01:04.078322,doc_117140,conversion,,32,,,,,,,51.94,success,
2025-10-16T23:01:52.499484,doc_117141,conversion,,33,,,,,,,48.35,success,
2025-10-16T23:01:58.086889,doc_117143,conversion,,2,,,,,,,5.58,success,
2025-10-16T23:02:45.306246,doc_117145,conversion,,32,,,,,,,47.17,success,
2025-10-16T23:02:50.522050,doc_117146,conversion,,2,,,,,,,5.20,success,
2025-10-16T23:03:39.899437,doc_117152,conversion,,31,,,,,,,49.30,success,
2025-10-16T23:05:05.948988,doc_117154,conversion,,59,,,,,,,85.79,success,
2025-10-16T23:06:18.264684,doc_117159,conversion,,45,,,,,,,72.06,success,
2025-10-16T23:06:27.282507,doc_117162,conversion,,5,,,,,,,8.91,success,
2025-10-16T23:12:53.850242,doc_117163,conversion,,121,,,,,,,377.56,success,
2025-10-16T23:13:01.367579,doc_117164,conversion,,4,,,,,,,7.46,success,
2025-10-16T23:13:05.954306,doc_117170,conversion,,1,,,,,,,4.58,success,
2025-10-16T23:14:34.871040,doc_117173,conversion,,57,,,,,,,88.81,success,
2025-10-16T23:14:40.953377,doc_117177,conversion,,3,,,,,,,6.06,success,
2025-10-16T23:14:53.591314,doc_117179,conversion,,8,,,,,,,12.63,success,
2025-10-16T23:15:07.903079,doc_117188,conversion,,10,,,,,,,14.11,success,
2025-10-16T23:15:59.182406,doc_117190,conversion,,41,,,,,,,51.23,success,
2025-10-16T23:17:15.459149,doc_117210,conversion,,47,,,,,,,76.25,success,
2025-10-16T23:17:28.491101,doc_117211,conversion,,4,,,,,,,13.02,success,
2025-10-16T23:17:34.402101,doc_117218,conversion,,2,,,,,,,5.90,success,
2025-10-16T23:23:56.476526,doc_117220,conversion,,212,,,,,,,378.09,success,
2025-10-16T23:24:04.152798,doc_117224,conversion,,3,,,,,,,7.62,success,
2025-10-16T23:24:14.712745,doc_117225,conversion,,6,,,,,,,10.53,success,
2025-10-16T23:25:44.894956,doc_117226,conversion,,62,,,,,,,89.87,success,
2025-10-16T23:27:09.733834,doc_117228,conversion,,62,,,,,,,84.49,success,
2025-10-16T23:27:19.665969,doc_117229,conversion,,6,,,,,,,9.88,success,
2025-10-16T23:28:31.643518,doc_117230,conversion,,48,,,,,,,71.74,success,
2025-10-16T23:29:26.789034,doc_117233,conversion,,43,,,,,,,54.84,success,
2025-10-16T23:29:32.420954,doc_117241,conversion,,2,,,,,,,5.63,success,
2025-10-16T23:30:28.522171,doc_117247,conversion,,35,,,,,,,56.09,success,
2025-10-16T23:31:36.446795,doc_117248,conversion,,40,,,,,,,67.91,success,
2025-10-16T23:32:36.563383,doc_117249,conversion,,36,,,,,,,60.10,success,
2025-10-16T23:32:42.572409,doc_117250,conversion,,3,,,,,,,6.00,success,
2025-10-16T23:32:48.662779,doc_117251,conversion,,3,,,,,,,6.09,success,
2025-10-16T23:33:56.408335,doc_117254,conversion,,43,,,,,,,67.73,success,
2025-10-16T23:35:41.502541,doc_117261,conversion,,62,,,,,,,105.05,success,
2025-10-16T23:47:42.414744,doc_117271,conversion,,308,,,,,,,704.93,success,
2025-10-16T23:47:53.347470,doc_117274,conversion,,3,,,,,,,10.87,success,
2025-10-16T23:49:43.112537,doc_117280,conversion,,82,,,,,,,108.02,success,
2025-10-16T23:49:48.966980,doc_117284,conversion,,2,,,,,,,5.84,success,
2025-10-16T23:52:04.278942,doc_117285,conversion,,98,,,,,,,133.44,success,
2025-10-16T23:52:10.970902,doc_117287,conversion,,3,,,,,,,6.68,success,
2025-10-16T23:52:26.354871,doc_117289,conversion,,3,,,,,,,15.38,success,
2025-10-16T23:54:29.513434,doc_117292,conversion,,84,,,,,,,120.48,success,
2025-10-16T23:54:36.456038,doc_117300,conversion,,3,,,,,,,6.92,success,
2025-10-16T23:54:43.748973,doc_117304,conversion,,4,,,,,,,7.22,success,
2025-10-16T23:54:50.082417,doc_117307,conversion,,3,,,,,,,6.33,success,
